"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Platteville, WI","38420",2019,59,42,17,0,0,0,0,77,67,39,0,0,0,0,59,0
"Pocatello, ID","38540",2019,120,120,0,0,0,0,0,50,32,9,0,0,0,0,69,51
"Point Pleasant, WV-OH","38580",2019,90,88,2,0,0,0,0,66,29,4,0,0,0,90,0,0
"Ponca City, OK","38620",2019,90,66,23,1,0,0,0,106,61,40,0,0,0,3,87,0
"Port Angeles, WA","38820",2019,31,18,13,0,0,0,0,62,58,49,0,0,5,0,26,0
"Portland-South Portland, ME","38860",2019,121,99,22,0,0,0,0,78,54,44,1,0,80,0,39,1
"Portland-Vancouver-Hillsboro, OR-WA","38900",2019,31,18,12,1,0,0,0,128,62,42,0,0,0,0,31,0
"Portsmouth, OH","39020",2019,90,90,0,0,0,0,0,47,33,10,0,0,0,15,22,53
"Prescott, AZ","39140",2019,86,83,3,0,0,0,0,58,45,39,0,0,86,0,0,0
"Price, UT","39220",2019,120,108,12,0,0,0,0,74,51,44,0,4,116,0,0,0
"Providence-Warwick, RI-MA","39300",2019,91,77,14,0,0,0,0,81,52,44,1,9,56,0,24,1
"Provo-Orem, UT","39340",2019,121,98,23,0,0,0,0,81,61,44,1,4,93,0,23,0
"Pueblo, CO","39380",2019,31,31,0,0,0,0,0,35,31,20,0,0,0,0,28,3
"Pullman, WA","39420",2019,31,31,0,0,0,0,0,36,28,14,0,0,0,0,31,0
"Quincy, IL-MO","39500",2019,31,27,4,0,0,0,0,54,51,44,0,0,31,0,0,0
"Raleigh, NC","39580",2019,91,58,33,0,0,0,0,69,59,48,1,3,4,0,83,0
"Red Bluff, CA","39780",2019,8,8,0,0,0,0,0,16,16,5,0,0,0,0,0,8
"Redding, CA","39820",2019,80,77,3,0,0,0,0,73,47,42,0,0,74,0,5,1
"Reno, NV","39900",2019,32,19,13,0,0,0,0,65,59,45,1,3,6,0,22,0
"Richmond, VA","40060",2019,96,71,25,0,0,0,0,76,58,40,1,9,43,0,38,5
