lat,lng,date,time,PM25,index
35.1441,-106.6044,6/18/2019,19:00,27,327
35.502968,-97.577674,6/18/2019,19:00,27,328
35.32,-97.4883,6/18/2019,19:00,27,329
35.612801,-97.472198,6/18/2019,19:00,27,330
31.6531,-97.0706,6/18/2019,19:00,27,331
36.206699,-95.976402,6/18/2019,19:00,27,332
41.9767,-91.6878,6/18/2019,19:00,27,333
43.46611,-88.621109,6/18/2019,19:00,27,334
39.146025,-84.538375,6/18/2019,19:00,27,335
41.215,-80.485,6/18/2019,19:00,27,336
39.143197,-76.846192,6/18/2019,19:00,27,337
42.605816,-72.596689,6/18/2019,19:00,27,338
46.77417,-71.36972,6/18/2019,19:00,27,339
42.065119,-71.012686,6/18/2019,19:00,27,340
45.2803,-66.0561,6/18/2019,19:00,27,341
21.392834,-157.969131,6/18/2019,19:00,26,342
38.403765,-122.818294,6/18/2019,19:00,26,343
38.278849,-122.275024,6/18/2019,19:00,26,344
47.3167,-116.570297,6/18/2019,19:00,26,345
43.600699,-116.347853,6/18/2019,19:00,26,346
46.6588,-112.0131,6/18/2019,19:00,26,347
40.3414,-111.7136,6/18/2019,19:00,26,348
35.1353,-106.584702,6/18/2019,19:00,26,349
31.7467,-106.402802,6/18/2019,19:00,26,350
49.8422,-99.9189,6/18/2019,19:00,26,351
30.3542,-97.760002,6/18/2019,19:00,26,352
41.2474,-95.9731,6/18/2019,19:00,26,353
29.670025,-95.128508,6/18/2019,19:00,26,354
41.492191,-81.678552,6/18/2019,19:00,26,355
35.856098,-78.574203,6/18/2019,19:00,26,356
41.4428,-75.6231,6/18/2019,19:00,26,357
40.924606,-75.067825,6/18/2019,19:00,26,358
44.476101,-73.210297,6/18/2019,19:00,26,359
45.2536,-66.0803,6/18/2019,19:00,26,360
49.24528,-122.70889,6/18/2019,19:00,25,361
35.25651,-120.6693,6/18/2019,19:00,25,362
39.3386,-120.170303,6/18/2019,19:00,25,363
34.445301,-119.827797,6/18/2019,19:00,25,364
36.1358,-118.8108,6/18/2019,19:00,25,365
43.809486,-111.800475,6/18/2019,19:00,25,366
39.5339,-105.07,6/18/2019,19:00,25,367
43.7781,-91.225,6/18/2019,19:00,25,368
33.750833,-90.734167,6/18/2019,19:00,25,369
42.692131,-90.696373,6/18/2019,19:00,25,370
32.329111,-90.182722,6/18/2019,19:00,25,371
46.5331,-84.3094,6/18/2019,19:00,25,372
35.6322,-83.9422,6/18/2019,19:00,25,373
30.1783,-82.6192,6/18/2019,19:00,25,374
26.2992,-81.72,6/18/2019,19:00,25,375
41.4409,-81.4949,6/18/2019,19:00,25,376
43.4419,-80.5044,6/18/2019,19:00,25,377
37.55652,-77.40027,6/18/2019,19:00,25,378
38.9847,-75.5556,6/18/2019,19:00,25,379
45.3092,-66.0092,6/18/2019,19:00,25,380
48.432899,-123.492798,6/18/2019,19:00,24,381
38.2183,-121.77,6/18/2019,19:00,24,382
32.842297,-116.768326,6/18/2019,19:00,24,383
49.7164,-112.8006,6/18/2019,19:00,24,384
50.285833,-107.81689,6/18/2019,19:00,24,385
52.1361,-106.6631,6/18/2019,19:00,24,386
39.7794,-105.00523,6/18/2019,19:00,24,387
27.811814,-97.4657,6/18/2019,19:00,24,388
40.812558,-96.675733,6/18/2019,19:00,24,389
32.0319,-96.3992,6/18/2019,19:00,24,390
34.906082,-95.794128,6/18/2019,19:00,24,391
29.5831,-95.0156,6/18/2019,19:00,24,392
43.9947,-92.4497,6/18/2019,19:00,24,393
42.5014,-92.315804,6/18/2019,19:00,24,394
32.346905,-90.225928,6/18/2019,19:00,24,395
39.8669,-88.9256,6/18/2019,19:00,24,396
40.052241,-88.372549,6/18/2019,19:00,24,397
42.930569,-87.932106,6/18/2019,19:00,24,398
42.1406,-87.7994,6/18/2019,19:00,24,399
42.76138,-84.562867,6/18/2019,19:00,24,400
30.4397,-84.3483,6/18/2019,19:00,24,401
35.9803,-83.9306,6/18/2019,19:00,24,402
39.92882,-83.80949,6/18/2019,19:00,24,403
40.0467,-76.2833,6/18/2019,19:00,24,404
38.6444,-75.6131,6/18/2019,19:00,24,405
45.512189,-73.566872,6/18/2019,19:00,24,406
20.7808,-156.4461,6/18/2019,19:00,23,407
37.338202,-121.849892,6/18/2019,19:00,23,408
39.77919,-121.59135,6/18/2019,19:00,23,409
48.998333,-116.359419,6/18/2019,19:00,23,410
36.139707,-115.175654,6/18/2019,19:00,23,411
45.178699,-113.892998,6/18/2019,19:00,23,412
53.5453,-113.4992,6/18/2019,19:00,23,413
33.483799,-112.142601,6/18/2019,19:00,23,414
50.0492,-110.6814,6/18/2019,19:00,23,415
31.66752,-106.28774,6/18/2019,19:00,23,416
32.7592,-97.3414,6/18/2019,19:00,23,417
36.918242,-95.632127,6/18/2019,19:00,23,418
38.8386,-94.7464,6/18/2019,19:00,23,419
43.1008,-89.3572,6/18/2019,19:00,23,420
35.116866,-87.419726,6/18/2019,19:00,23,421
38.23158,-85.82675,6/18/2019,19:00,23,422
38.2286,-85.6544,6/18/2019,19:00,23,423
39.2787,-84.36612,6/18/2019,19:00,23,424
33.4347,-84.1617,6/18/2019,19:00,23,425
40.771,-84.0539,6/18/2019,19:00,23,426
42.3144,-83.0433,6/18/2019,19:00,23,427
27.8928,-82.5383,6/18/2019,19:00,23,428
35.912487,-82.062082,6/18/2019,19:00,23,429
46.491941,-81.003105,6/18/2019,19:00,23,430
27.172459,-80.240692,6/18/2019,19:00,23,431
45.2211,-78.9314,6/18/2019,19:00,23,432
42.9981,-78.8993,6/18/2019,19:00,23,433
45.641026,-73.499682,6/18/2019,19:00,23,434
45.61394,-61.36235,6/18/2019,19:00,23,435
21.323601,-158.088593,6/18/2019,19:00,22,436
21.3039,-157.8711,6/18/2019,19:00,22,437
48.4292,-123.3583,6/18/2019,19:00,22,438
37.9722,-122.5189,6/18/2019,19:00,22,439
42.565089,-114.494717,6/18/2019,19:00,22,440
53.564411,-113.562583,6/18/2019,19:00,22,441
33.4265,-112.1181,6/18/2019,19:00,22,442
56.7328,-111.39,6/18/2019,19:00,22,443
45.683765,-111.056282,6/18/2019,19:00,22,444
34.632999,-98.428802,6/18/2019,19:00,22,445
34.256901,-97.474197,6/18/2019,19:00,22,446
43.0178,-87.9333,6/18/2019,19:00,22,447
43.0611,-87.9125,6/18/2019,19:00,22,448
35.65188,-87.0096,6/18/2019,19:00,22,449
38.1935,-85.7121,6/18/2019,19:00,22,450
40.366452,-80.615691,6/18/2019,19:00,22,451
42.1428,-80.0372,6/18/2019,19:00,22,452
35.889402,-78.8747,6/18/2019,19:00,22,453
39.462002,-76.631599,6/18/2019,19:00,22,454
45.6819,-62.6953,6/18/2019,19:00,22,455
49.260799,-124.805603,6/18/2019,19:00,21,456
35.02079,-120.56389,6/18/2019,19:00,21,457
36.4878,-117.871,6/18/2019,19:00,21,458
29.332803,-98.551396,6/18/2019,19:00,21,459
39.741667,-94.858333,6/18/2019,19:00,21,460
39.10465,-94.57055,6/18/2019,19:00,21,461
43.4356,-89.6803,6/18/2019,19:00,21,462
30.39,-89.0497,6/18/2019,19:00,21,463
46.2889,-85.9503,6/18/2019,19:00,21,464
30.128901,-85.738098,6/18/2019,19:00,21,465
36.1857,-85.4921,6/18/2019,19:00,21,466
33.778315,-84.391418,6/18/2019,19:00,21,467
39.42689,-84.20077,6/18/2019,19:00,21,468
43.1461,-77.5481,6/18/2019,19:00,21,469
46.035,-74.4819,6/18/2019,19:00,21,470
40.725452,-74.052292,6/18/2019,19:00,21,471
41.4014,-73.4447,6/18/2019,19:00,21,472
46.1425,-60.1728,6/18/2019,19:00,21,473
44.046683,-123.017736,6/18/2019,19:00,20,474
49.15833,-122.90167,6/18/2019,19:00,20,475
