lat,lng,date,PM25
38.5425,-90.263611,2019-06-17T17:00,37
32.346905,-90.225928,2019-06-17T17:00,33
41.823101,-90.211899,2019-06-17T17:00,23
38.656449,-90.198548,2019-06-17T17:00,67
35.1967,-90.1911,2019-06-17T17:00,26
38.65643,-90.18977,2019-06-17T17:00,54
32.329111,-90.182722,2019-06-17T17:00,41
38.611893,-90.160614,2019-06-17T17:00,63
29.9933,-90.1014,2019-06-17T17:00,23
34.820556,-89.987778,2019-06-17T17:00,18
38.1761,-89.7883,2019-06-17T17:00,11
43.4356,-89.6803,2019-06-17T17:00,24
39.831921,-89.644164,2019-06-17T17:00,55
40.6978,-89.5889,2019-06-17T17:00,30
30.3008,-89.395798,2019-06-17T17:00,15
36.0528,-89.3819,2019-06-17T17:00,18
43.1008,-89.3572,2019-06-17T17:00,28
31.322779,-89.287498,2019-06-17T17:00,19
42.267002,-89.08917,2019-06-17T17:00,26
30.39,-89.0497,2019-06-17T17:00,18
40.5169,-88.9975,2019-06-17T17:00,70
39.8669,-88.9256,2019-06-17T17:00,29
35.705338,-88.81959,2019-06-17T17:00,29
38.088902,-88.625,2019-06-17T17:00,18
43.46611,-88.621109,2019-06-17T17:00,18
37.0581,-88.5725,2019-06-17T17:00,30
30.377501,-88.533897,2019-06-17T17:00,18
44.3069,-88.3956,2019-06-17T17:00,20
40.052241,-88.372549,2019-06-17T17:00,24
32.36253,-88.27792,2019-06-17T17:00,2
42.2211,-88.2411,2019-06-17T17:00,49
43.0203,-88.215,2019-06-17T17:00,23
41.2222,-88.1906,2019-06-17T17:00,30
41.526885,-88.116474,2019-06-17T17:00,33
42.93257,-87.93434,2019-06-17T17:00,26
43.0178,-87.9333,2019-06-17T17:00,25
43.0611,-87.9125,2019-06-17T17:00,25
42.5047,-87.8111,2019-06-17T17:00,19
43.4981,-87.81,2019-06-17T17:00,16
42.1406,-87.7994,2019-06-17T17:00,20
41.864329,-87.748826,2019-06-17T17:00,58
41.6708,-87.7325,2019-06-17T17:00,60
41.7547,-87.7136,2019-06-17T17:00,81
41.578603,-87.557392,2019-06-17T17:00,34
41.594427,-87.495044,2019-06-17T17:00,52
35.116866,-87.419726,2019-06-17T17:00,30
36.611411,-87.384666,2019-06-17T17:00,20
37.7808,-87.0756,2019-06-17T17:00,33
